modelo,qtd_imagens,epoca,loss,mAP
Custom_FasterRCNN,4817,50,0.26046292316045194,0.25909748673439026
Custom_FasterRCNN,4817,60,0.2463938800112301,0.2743200957775116
Custom_FasterRCNN,4817,70,0.2351066093176406,0.2826777994632721
Custom_FasterRCNN,4817,80,0.22674015756474425,0.2964160740375519
Custom_FasterRCNN,4817,90,0.21937184252881056,0.29533421993255615
Custom_FasterRCNN,4817,100,0.20831248578646325,0.30173665285110474
Custom_FasterRCNN,4817,110,0.2000362772913958,0.3059278428554535
Custom_FasterRCNN,4817,120,0.19352895041175236,0.30972006916999817
Custom_FasterRCNN,4817,130,0.18782671427489905,0.3135632276535034
Custom_FasterRCNN,4817,140,0.18101810397493917,0.3135054409503937
Custom_FasterRCNN,4817,150,0.17462455851352768,0.3130241334438324
Custom_FasterRCNN,6423,10,0.33500506176580835,0.04077393561601639
Custom_FasterRCNN,6423,20,0.30314886807209224,0.16916321218013763
Custom_FasterRCNN,6423,30,0.28022306823908394,0.2289874106645584
Custom_FasterRCNN,6423,40,0.26425265717269175,0.26167911291122437
Custom_FasterRCNN,6423,50,0.25138667944948473,0.28568363189697266
Custom_FasterRCNN,6423,60,0.23785497774532185,0.2933531701564789
Custom_FasterRCNN,6423,70,0.2270255730816381,0.3107885420322418
Custom_FasterRCNN,6423,80,0.21720777355616366,0.3163250684738159
Custom_FasterRCNN,6423,90,0.20791678994300947,0.32277432084083557
Custom_FasterRCNN,6423,100,0.20104643676559725,0.327696293592453
Custom_FasterRCNN,6423,110,0.19223450806306963,0.3290254473686218
Custom_FasterRCNN,6423,120,0.1868199784660814,0.3298497796058655
Custom_FasterRCNN,6423,130,0.180039327647259,0.33664995431900024
Custom_FasterRCNN,6423,140,0.17502718404009568,0.32575228810310364
Custom_FasterRCNN,6423,150,0.16835048323988322,0.3346936106681824
Custom_FasterRCNN,8029,10,0.32868250699869667,0.06723715364933014
Custom_FasterRCNN,8029,20,0.2947523304190769,0.20024287700653076
Custom_FasterRCNN,8029,30,0.2726685107347975,0.24240393936634064
Custom_FasterRCNN,8029,40,0.2589051700327026,0.28614044189453125
Custom_FasterRCNN,8029,50,0.2447375176674816,0.30471932888031006
Custom_FasterRCNN,8029,60,0.2327554510884076,0.32203587889671326
Custom_FasterRCNN,8029,70,0.22246332122272705,0.33203381299972534
Custom_FasterRCNN,8029,80,0.21214177364490897,0.34628942608833313
Custom_FasterRCNN,8029,90,0.20349587660386742,0.3459681272506714
Custom_FasterRCNN,8029,100,0.19522400117252928,0.3584034740924835
