Modelo,Qtd_Imagens,Epocas,Precisao
YOLO,14453,150,0.69976
YOLO,16059,10,0.59322
YOLO,16059,20,0.65129
YOLO,16059,30,0.68546
YOLO,16059,40,0.70369
YOLO,16059,50,0.70424
YOLO,16059,60,0.71044
YOLO,16059,70,0.71181
YOLO,16059,80,0.71157
YOLO,16059,90,0.70775
YOLO,16059,100,0.71084
YOLO,16059,110,0.71248
YOLO,16059,120,0.71519
YOLO,16059,130,0.71691
YOLO,16059,140,0.72408
YOLO,16059,150,0.72705
Custom_FasterRCNN,1605,10,1e-05
Custom_FasterRCNN,1605,20,0.00208
Custom_FasterRCNN,1605,30,0.00434
Custom_FasterRCNN,1605,40,0.0138
Custom_FasterRCNN,1605,50,0.04178
Custom_FasterRCNN,1605,60,0.07496
Custom_FasterRCNN,1605,70,0.10721
Custom_FasterRCNN,1605,80,0.14982
Custom_FasterRCNN,1605,90,0.16913
Custom_FasterRCNN,1605,100,0.18581
Custom_FasterRCNN,1605,110,0.19886
Custom_FasterRCNN,1605,120,0.20508
Custom_FasterRCNN,1605,130,0.21851
Custom_FasterRCNN,1605,140,0.22085
Custom_FasterRCNN,1605,150,0.21813
Custom_FasterRCNN,3211,10,0.00229
Custom_FasterRCNN,3211,20,0.02712
Custom_FasterRCNN,3211,30,0.09713
Custom_FasterRCNN,3211,40,0.15617
Custom_FasterRCNN,3211,50,0.21189
Custom_FasterRCNN,3211,60,0.23187
Custom_FasterRCNN,3211,70,0.25287
Custom_FasterRCNN,3211,80,0.25648
Custom_FasterRCNN,3211,90,0.26888
Custom_FasterRCNN,3211,100,0.27246
Custom_FasterRCNN,3211,110,0.27972
Custom_FasterRCNN,3211,120,0.27797
Custom_FasterRCNN,3211,130,0.28309
Custom_FasterRCNN,3211,140,0.29238
Custom_FasterRCNN,3211,150,0.28881
Custom_FasterRCNN,4817,10,0.00709
Custom_FasterRCNN,4817,20,0.11257
Custom_FasterRCNN,4817,30,0.19899
Custom_FasterRCNN,4817,40,0.22804
Custom_FasterRCNN,4817,50,0.2591
Custom_FasterRCNN,4817,60,0.27432
Custom_FasterRCNN,4817,70,0.28268
Custom_FasterRCNN,4817,80,0.29642
Custom_FasterRCNN,4817,90,0.29533
Custom_FasterRCNN,4817,100,0.30174
Custom_FasterRCNN,4817,110,0.30593
Custom_FasterRCNN,4817,120,0.30972
Custom_FasterRCNN,4817,130,0.31356
Custom_FasterRCNN,4817,140,0.31351
Custom_FasterRCNN,4817,150,0.31302
Custom_FasterRCNN,6423,10,0.04077
Custom_FasterRCNN,6423,20,0.16916
Custom_FasterRCNN,6423,30,0.22899
Custom_FasterRCNN,6423,40,0.26168
Custom_FasterRCNN,6423,50,0.28568
Custom_FasterRCNN,6423,60,0.29335
Custom_FasterRCNN,6423,70,0.31079
Custom_FasterRCNN,6423,80,0.31633
Custom_FasterRCNN,6423,90,0.32277
Custom_FasterRCNN,6423,100,0.3277
Custom_FasterRCNN,6423,110,0.32903
Custom_FasterRCNN,6423,120,0.32985
Custom_FasterRCNN,6423,130,0.33665
Custom_FasterRCNN,6423,140,0.32575
Custom_FasterRCNN,6423,150,0.33469
Custom_FasterRCNN,8029,10,0.06724
Custom_FasterRCNN,8029,20,0.20024
Custom_FasterRCNN,8029,30,0.2424
Custom_FasterRCNN,8029,40,0.28614
Custom_FasterRCNN,8029,50,0.30472
Custom_FasterRCNN,8029,60,0.32204
Custom_FasterRCNN,8029,70,0.33203
Custom_FasterRCNN,8029,80,0.34629
Custom_FasterRCNN,8029,90,0.34597
Custom_FasterRCNN,8029,100,0.3584
Custom_FasterRCNN,8029,110,0.35305
Custom_FasterRCNN,8029,120,0.36438
Custom_FasterRCNN,8029,130,0.36401
Custom_FasterRCNN,8029,140,0.36824
Custom_FasterRCNN,8029,150,0.36384
Custom_FasterRCNN,9635,10,0.12373
Custom_FasterRCNN,9635,20,0.23462
Custom_FasterRCNN,9635,30,0.28088
Custom_FasterRCNN,9635,40,0.30109
Custom_FasterRCNN,9635,50,0.32457
Custom_FasterRCNN,9635,60,0.32965
Custom_FasterRCNN,9635,70,0.3411
Custom_FasterRCNN,9635,80,0.35195
Custom_FasterRCNN,9635,90,0.34458
Custom_FasterRCNN,9635,100,0.36366
Custom_FasterRCNN,9635,110,0.36058
Custom_FasterRCNN,9635,120,0.36393
Custom_FasterRCNN,9635,130,0.36787
Custom_FasterRCNN,9635,140,0.36535
Custom_FasterRCNN,9635,150,0.36271
Custom_FasterRCNN,11241,10,0.14477
Custom_FasterRCNN,11241,20,0.26454
Custom_FasterRCNN,11241,30,0.2911
Custom_FasterRCNN,11241,40,0.32314
Custom_FasterRCNN,11241,50,0.34424
Custom_FasterRCNN,11241,60,0.35799
Custom_FasterRCNN,11241,70,0.36321
Custom_FasterRCNN,11241,80,0.3762
Custom_FasterRCNN,11241,90,0.37029
Custom_FasterRCNN,11241,100,0.38094
Custom_FasterRCNN,11241,110,0.38086
Custom_FasterRCNN,11241,120,0.37651
Custom_FasterRCNN,11241,130,0.38468
Custom_FasterRCNN,11241,140,0.38076
Custom_FasterRCNN,11241,150,0.38374
Custom_FasterRCNN,12847,10,0.15763
Custom_FasterRCNN,12847,20,0.26384
Custom_FasterRCNN,12847,30,0.31261
Custom_FasterRCNN,12847,40,0.34398
Custom_FasterRCNN,12847,50,0.35185
Custom_FasterRCNN,12847,60,0.36115
Custom_FasterRCNN,12847,70,0.3736
Custom_FasterRCNN,12847,80,0.38171
Custom_FasterRCNN,12847,90,0.38755
Custom_FasterRCNN,12847,100,0.39189
Custom_FasterRCNN,12847,110,0.39445
Custom_FasterRCNN,12847,120,0.39523
Custom_FasterRCNN,12847,130,0.39936
Custom_FasterRCNN,12847,140,0.39302
Custom_FasterRCNN,12847,150,0.39667
Custom_FasterRCNN,14453,10,0.18637
Custom_FasterRCNN,14453,20,0.28222
Custom_FasterRCNN,14453,30,0.31881
Custom_FasterRCNN,14453,40,0.34512
Custom_FasterRCNN,14453,50,0.36079
Custom_FasterRCNN,14453,60,0.37059
Custom_FasterRCNN,14453,70,0.38333
Custom_FasterRCNN,14453,80,0.38879
Custom_FasterRCNN,14453,90,0.388
Custom_FasterRCNN,14453,100,0.39713
Custom_FasterRCNN,14453,110,0.40152
Custom_FasterRCNN,14453,120,0.3888
Custom_FasterRCNN,14453,130,0.40422
Custom_FasterRCNN,14453,140,0.40603
Custom_FasterRCNN,14453,150,0.40931
Custom_FasterRCNN,16059,10,0.20739
Custom_FasterRCNN,16059,20,0.29293
Custom_FasterRCNN,16059,30,0.33839
Custom_FasterRCNN,16059,40,0.36296
Custom_FasterRCNN,16059,50,0.38313
Custom_FasterRCNN,16059,60,0.39492
Custom_FasterRCNN,16059,70,0.3935
Custom_FasterRCNN,16059,80,0.40541
Custom_FasterRCNN,16059,90,0.40494
Custom_FasterRCNN,16059,100,0.41064
Custom_FasterRCNN,16059,110,0.41199
Custom_FasterRCNN,16059,120,0.41625
Custom_FasterRCNN,16059,130,0.41523
Custom_FasterRCNN,16059,140,0.41643
